issue_id,status,description,created_at,resolved_by,notes,purchase_order_po_id,vendor_vendor_id
1,resolved,Factory production delay caused by component shortage reduced delivered quantity from 500 to 450 units,2024-02-16T08:00:00.000Z,agent,Agent re-ran allocation scenario and accepted partial shipment; remainder flagged for follow-up PO,1,1
2,resolved,Tariff increase of 18% made contract terms untenable; PO cancelled before shipment,2024-04-02T08:00:00.000Z,human,Procurement manager voided PO and issued RFQ to alternate vendors; new quote pending,3,7
3,resolved,Shipment held at customs for 15 days due to extended inspection on servo motor imports,2023-10-11T08:00:00.000Z,agent,Agent identified customs hold via carrier API; notified logistics team and updated expected delivery,4,5
4,resolved,Vendor facility damaged by fire; unable to fulfil steel sheet order of 3000 units,2023-11-02T08:00:00.000Z,human,Procurement team sourced replacement from Vishay Industrial; new PO issued at 6% premium,7,4
5,in_progress,Port strike at origin port disrupted bolt shipment; 6000 units pending rerouting,2024-03-11T08:00:00.000Z,,,9,6
6,resolved,Raw material shortage at Polskie Czesci prevented fulfillment of pneumatic cylinder order,2024-04-21T08:00:00.000Z,human,Issue escalated to supply chain director; partial order of 80 units sourced from Ontario Alloys,12,12
7,resolved,Quality control failure on CAN bus controller batch — full shipment of 400 units returned to Hanwha,2024-03-06T08:00:00.000Z,agent,Agent flagged QC rejection via inspection report; triggered re-inspection workflow and vendor corrective action,14,5
8,open,Vendor declared force majeure due to typhoon damage; brake caliper delivery of 100 units postponed indefinitely,2024-05-29T08:00:00.000Z,,,17,2
9,resolved,Received 730 of 800 units for microcontroller shipment; 70-unit shortfall not documented by vendor,2023-07-26T08:00:00.000Z,agent,Agent cross-referenced shipping manifest against received goods log; issued debit note for shortfall,11,1
10,in_progress,Copper wire delivery shows 940 of 1000 units received; vendor disputes count — recount in progress,2024-04-11T08:00:00.000Z,,,16,6
11,resolved,ECM module delivery delayed 10 days due to semiconductor allocation freeze at Pacific Electronics,2023-12-11T08:00:00.000Z,agent,Agent updated expected delivery in system and notified downstream production planning team,2,3
12,open,Power supply order cancelled by vendor citing raw material cost volatility; replacement sourcing not yet initiated,2024-04-22T08:00:00.000Z,,,13,18
