session_id,active_constraints,last_action,updated_at,request_request_id
1,"{max_lead_days:21 budget:15000 min_otif:0.88 approved_vendors:[1,3,7]}",suggested_allocation,2024-01-11T10:30:00.000Z,1
2,"{max_lead_days:45 budget:30000 min_otif:0.90 approved_vendors:[2,9]}",suggested_allocation,2023-11-05T09:00:00.000Z,2
3,"{max_lead_days:30 budget:90000 min_otif:0.85 tariff_alert:true}",query_vendor,2024-03-22T14:15:00.000Z,3
4,"{max_lead_days:35 budget:50000 min_otif:0.80 approved_vendors:[7]}",suggested_allocation,2024-02-14T11:00:00.000Z,4
5,"{max_lead_days:30 budget:28000 min_otif:0.90 domestic_only:true}",override_check,2023-10-30T13:00:00.000Z,5
6,"{max_lead_days:25 budget:85000 min_otif:0.90 approved_vendors:[5,19]}",suggested_allocation,2023-09-18T08:45:00.000Z,6
7,"{max_lead_days:32 budget:360000 min_otif:0.88}",suggested_allocation,2024-01-28T09:30:00.000Z,7
8,"{max_lead_days:50 budget:4200000 min_otif:0.95 single_source_only:true}",query_vendor,2024-04-05T10:00:00.000Z,8
9,"{max_lead_days:35 budget:40000 min_otif:0.88}",suggested_allocation,2023-08-12T07:30:00.000Z,9
10,"{max_lead_days:40 budget:14000 min_otif:0.75 risk_cap:60}",override_check,2024-02-01T15:00:00.000Z,10
11,"{max_lead_days:45 budget:280000 min_otif:0.90 approved_vendors:[2,9]}",query_vendor,2024-04-18T11:30:00.000Z,11
12,"{max_lead_days:20 budget:20000 min_otif:0.85}",suggested_allocation,2023-07-25T09:00:00.000Z,12
13,"{max_lead_days:35 budget:15000 min_otif:0.85 eu_compliant:true}",suggested_allocation,2024-03-10T10:00:00.000Z,13
14,"{max_lead_days:50 budget:7000 min_otif:0.70}",override_check,2023-12-02T14:00:00.000Z,14
15,"{max_lead_days:25 budget:38000 tariff_alert:true approved_vendors:[5]}",suggested_allocation,2024-04-29T08:00:00.000Z,15
