allocation_id,allocated_quantity,total_effective_cost,rationale_summary,created_at,suggested_by_agent,scenario_scenario_id,vendor_vendor_id,product_product_id
1,500,11250.00,Lowest unit cost among compliant vendors; 14-day lead time meets Q1 deadline,2024-01-12T08:00:00.000Z,true,1,1,1
2,500,12950.00,Alternative quote selected for comparison; 4-day faster lead time justifies 15% premium,2024-01-12T08:00:00.000Z,false,2,1,1
3,80,22400.00,Primary vendor for ECM sourcing; OEM approval requirement satisfied,2023-11-06T08:00:00.000Z,true,3,2,9
4,250,79500.00,Foxconn selected despite elevated tariff; capacity and lead time superior to alternatives,2024-03-23T08:00:00.000Z,true,4,7,5
5,1500,45750.00,Battery cell sourced from compliant Foxconn facility; capacity confirmed at 200K per month,2024-02-15T08:00:00.000Z,true,5,7,16
6,3000,25200.00,Steel sheet from US domestic supplier; avoids 25% import tariff on foreign steel,2023-10-31T08:00:00.000Z,true,6,4,4
7,300,79500.00,Servo motor sourced from Hanwha; OTIF score 93.7% over prior 12 months,2023-09-19T08:00:00.000Z,true,7,5,13
8,120,348000.00,OLED display from Pacific Electronics; only qualified vendor for this display spec,2024-01-29T08:00:00.000Z,true,8,3,8
9,60,3960000.00,Gearbox from Mitsui; sole qualified vendor meeting ISO 9001 and lead time requirements,2024-04-06T08:00:00.000Z,false,9,8,15
10,4000,37600.00,Ball bearing allocated to Vishay; largest certified capacity and lowest total landed cost,2023-08-13T08:00:00.000Z,true,10,4,3
11,6000,12600.00,Bolt sourced from Tata; 40% cost below next alternative despite elevated risk rating,2024-02-02T08:00:00.000Z,true,11,6,20
12,90,270000.00,Continental Suppliers selected as risk diversification from AutoParts primary source,2024-04-19T08:00:00.000Z,false,12,9,9
13,800,18400.00,Re-run confirms Shenzhen TechCore as optimal; price and lead time remain superior,2023-07-26T08:00:00.000Z,true,13,1,1
14,150,14250.00,Pneumatic cylinder from Polskie; EU RoHS compliance confirmed; strong OTIF record,2024-03-11T08:00:00.000Z,true,14,12,17
15,200,29400.00,Power supply from Renault Components; meets automotive-grade specification,2024-01-16T08:00:00.000Z,true,15,18,2
16,400,35000.00,CAN bus controller from Hanwha; Korean sourcing avoids US Section 301 tariff exposure,2024-01-29T08:00:00.000Z,true,16,5,24
17,250,35000.00,PCB Assembly via Foxconn; highest capacity available within acceptable lead time,2024-03-23T08:00:00.000Z,false,17,7,5
18,1500,19500.00,Battery cell alternative quote from Foxconn; 20% higher OTIF justifies 10% premium,2024-02-15T08:00:00.000Z,true,18,7,16
19,1000,33280.00,Copper wire from Tata; high-volume contract discount of 8% applied to base rate,2024-02-29T08:00:00.000Z,true,19,6,12
20,100,29500.00,Brake caliper from AutoParts Global; preferred Tier 1 automotive supplier,2024-05-04T08:00:00.000Z,true,20,2,10
